Date,Open,High,Low,Close,Adj Close,Volume,ticker
2017-03-01,2380.13,2400.98,2322.25,2362.72,2362.72,81547770000.0,^GSPC
2017-04-01,2362.34,2398.16,2328.95,2384.2,2384.2,65265670000.0,^GSPC
2017-05-01,2388.5,2418.71,2352.72,2411.8,2411.8,79607170000.0,^GSPC
2017-06-01,2415.65,2453.82,2405.7,2423.41,2423.41,81002490000.0,^GSPC
2017-07-01,2431.39,2484.04,2407.7,2470.3,2470.3,63169400000.0,^GSPC
2017-08-01,2477.1,2490.87,2417.35,2471.65,2471.65,70616030000.0,^GSPC
2017-09-01,2474.42,2519.44,2446.55,2519.36,2519.36,66337980000.0,^GSPC
2017-10-01,2521.2,2582.98,2520.4,2575.26,2575.26,70871570000.0,^GSPC
2017-11-01,2583.21,2657.74,2557.45,2647.58,2647.58,73173260000.0,^GSPC
2017-12-01,2645.1,2694.97,2605.52,2673.61,2673.61,65251190000.0,^GSPC
2018-01-01,2683.73,2872.87,2682.36,2823.81,2823.81,76860120000.0,^GSPC
2018-02-01,2816.45,2835.96,2532.69,2713.83,2713.83,79579410000.0,^GSPC
2018-03-01,2715.22,2801.9,2585.89,2640.87,2640.87,76369800000.0,^GSPC
2018-04-01,2633.45,2717.49,2553.8,2648.05,2648.05,69648590000.0,^GSPC
2018-05-01,2642.96,2742.24,2594.62,2705.27,2705.27,75617280000.0,^GSPC
2018-06-01,2718.7,2791.47,2691.99,2718.37,2718.37,77439710000.0,^GSPC
2018-07-01,2704.95,2848.03,2698.95,2816.29,2816.29,64542170000.0,^GSPC
2018-08-01,2821.17,2916.5,2796.34,2901.52,2901.52,69238220000.0,^GSPC
2018-09-01,2896.96,2940.91,2864.12,2913.98,2913.98,62492080000.0,^GSPC
2018-10-01,2926.29,2939.86,2603.54,2711.74,2711.74,91327930000.0,^GSPC
2018-11-01,2717.58,2815.15,2631.09,2760.17,2760.17,80080110000.0,^GSPC
2018-12-01,2790.5,2800.18,2346.58,2506.85,2506.85,83522570000.0,^GSPC
2019-01-01,2476.96,2708.95,2443.96,2704.1,2704.1,80401630000.0,^GSPC
2019-02-01,2702.32,2813.49,2681.83,2784.49,2784.49,70183430000.0,^GSPC
2019-03-01,2798.22,2860.31,2722.27,2834.4,2834.4,78596280000.0,^GSPC
2019-04-01,2848.63,2949.52,2848.63,2945.83,2945.83,69604840000.0,^GSPC
2019-05-01,2952.33,2954.13,2750.52,2752.06,2752.06,76860120000.0,^GSPC
2019-06-01,2751.53,2964.15,2728.81,2941.76,2941.76,70904280000.0,^GSPC
2019-07-01,2971.41,3027.98,2952.22,2980.38,2980.38,70349470000.0,^GSPC
2019-08-01,2980.32,3013.59,2822.12,2926.46,2926.46,79599440000.0,^GSPC
2019-09-01,2909.01,3021.99,2891.85,2976.74,2976.74,73992330000.0,^GSPC
2019-10-01,2983.69,3050.1,2855.94,3037.56,3037.56,77564550000.0,^GSPC
2019-11-01,3050.72,3154.26,3050.72,3140.98,3140.98,72179920000.0,^GSPC
2019-12-01,3143.85,3247.93,3070.33,3230.78,3230.78,72054000000.0,^GSPC
2020-01-01,3244.67,3337.77,3214.64,3225.52,3225.52,77104420000.0,^GSPC
