ts,open,high,low,close,volume,volumeUSD,token,chain,previous_close
2021-12-01 12:00:00,1.001,1.001,1.0009,1.0009,2039957.32,2041793.2815879998,USDT,USDT,222.845
2021-12-01 12:00:00,4727.41,4735.39,4656.42,4678.75,5622.633029199999,26306894.285369497,ETH,ETH,5.2423
2021-12-01 12:00:00,57008.56,57288.25,56822.65,57194.41,388.10285782,22197313.972328786,BTC,BTC,21.5923
2021-12-01 12:00:00,222.827,224.301,220.607,221.553,62713.693,13894406.825229,SOL,SOL,57194.41
2021-12-01 13:00:00,1.001,1.001,1.0009,1.001,1362834.67,1364197.5046699997,USDT,USDT,263.363
2021-12-01 13:00:00,57212.6,,57071.33,57152.27,301.60512503,17237417.53909832,BTC,BTC,5.2353
2021-12-01 13:00:00,221.554,224.614,220.88299999999998,221.707,75508.22,16740700.93154,SOL,SOL,57152.27
2021-12-01 13:00:00,4678.0,,4661.0,4672.02,6803.90143372,31787963.576368514,ETH,ETH,263.559
2021-12-01 14:00:00,4672.02,4725.3,4667.31,4682.45,5781.99643067,27073909.186790742,ETH,ETH,279.68
2021-12-01 14:00:00,1.001,1.001,1.0008,1.0009,2329949.96,2332046.9149639998,USDT,USDT,4682.45
2021-12-01 14:00:00,221.707,225.0,,224.535,70777.492,15892024.16622,SOL,SOL,0.216669
2021-12-01 14:00:00,57156.18,57987.67,,57709.94,510.97611839999996,29488401.134296894,BTC,BTC,281.31
2021-12-01 15:00:00,1.0009,1.001,1.0008,1.001,4815012.21,4819827.222209999,USDT,USDT,5.2291
2021-12-01 15:00:00,224.541,229.23,224.41400000000002,2.2909900000000003,116025.023,265812.16744277003,SOL,SOL,5.37
2021-12-01 15:00:00,4681.51,4765.5,4680.23,4746.05,8228.09312718,39050941.38625264,ETH,ETH,21.9103
2021-12-01 15:00:00,57706.57,58783.16,57704.98,58610.19,908.85859635,53268375.01520681,BTC,BTC,4746.05
2021-12-01 16:00:00,4746.05,4767.44,4715.03,4730.09,6061.50267989,28671453.21112089,ETH,ETH,21.8238
2021-12-01 16:00:00,1.0009,,1.0009,100.1,5186434.22,519162065.42199993,USDT,USDT,5.3413
